day,dayNo,case
Feb15,1,22
Feb16,2,22
Feb17,3,22
Feb18,4,22
Feb19,5,22
Feb20,6,22
Feb21,7,22
Feb22,8,22
Feb23,9,22
Feb24,10,22
Feb25,11,22
Feb26,12,22
Feb27,13,22
Feb28,14,25
Feb29,15,25
Mar01,16,29
Mar02,17,29
Mar03,18,36
Mar04,19,50
Mar05,20,55
Mar06,21,83
Mar07,22,93
Mar08,23,99
Mar09,24,117
Mar10,25,129
Mar11,26,149
Mar12,27,158
Mar13,28,197
Mar14,29,238
Mar15,30,428
Mar16,31,566
Mar17,32,673
Mar18,33,790
Mar19,34,900
Mar20,35,1030
Mar21,36,1183
Mar22,37,1306
Mar23,38,1518
Mar24,39,1624
Mar25,40,1796
Mar26,41,2031
Mar27,42,2161
Mar28,43,2320
Mar29,44,2470
Mar30,45,2626
Mar31,46,2766
Apr01,47,2908
Apr02,48,3116
Apr03,49,3333
Apr04,50,3483
Apr05,51,3662
Apr06,52,3793
Apr07,53,3963
Apr08,54,4119
Apr09,55,4228
Apr10,56,4346
Apr11,57,4530
Apr12,58,4683
Apr13,59,4817
Apr14,60,4987
Apr15,61,5072
Apr16,62,5182
Apr17,63,5251
Apr18,64,5305
Apr19,65,5389
Apr20,66,5425
Apr21,67,5482
Apr22,68,5532
Apr23,69,5603
Apr24,70,5691
Apr25,71,5742
Apr26,72,5780
Apr27,73,5820
Apr28,74,5851
Apr29,75,5945
Apr30,76,6002
May01,77,6071
May02,78,6176
May03,79,6298
May04,80,6353
May05,81,6383
May06,82,6428
May07,83,6467
May08,84,6535
May09,85,6589
May10,86,6656
May11,87,6726
May12,88,6742
May13,89,6779
May14,90,6819
May15,91,6855
May16,92,6872
May17,93,6894
May18,94,6941
May19,95,6978
May20,96,7009
May21,97,7059
May22,98,7137
May23,99,7185
May24,100,7245
May25,101,7417
May26,102,7604
May27,103,7619
May28,104,7629
May29,105,7732
May30,106,7762
May31,107,7819
Jun01,108,7857
Jun02,109,7877
Jun03,110,7970
Jun04,111,8247
Jun05,112,8266
Jun06,113,8303
Jun07,114,8322
Jun08,115,8329
Jun09,116,8336
Jun10,117,8338
Jun11,118,8369
Jun12,119,8402
Jun13,120,8445
Jun14,121,8453
Jun15,122,8494
Jun16,123,8505
Jun17,124,8515
Jun18,125,8529
Jun19,126,8535
Jun20,127,8556
Jun21,128,8572
Jun22,129,8587
Jun23,130,8590
Jun24,131,8596
Jun25,132,8600
Jun26,133,8606
Jun27,134,8616
Jun28,135,8634
Jun29,136,8637
Jun30,137,8639
Jul01,138,8640
Jul02,139,8643
Jul03,140,8648
Jul04,141,8658
