day,dayNo,case
Feb27,1,1
Feb28,2,2
Feb29,3,7
Mar01,4,10
Mar02,5,18
Mar03,6,23
Mar04,7,38
Mar05,8,82
Mar06,9,128
Mar07,10,188
Mar08,11,265
Mar09,12,321
Mar10,13,382
Mar11,14,503
Mar12,15,614
Mar13,16,804
Mar14,17,959
Mar15,18,1135
Mar16,19,1413
Mar17,20,1705
Mar18,21,2051
Mar19,22,2460
Mar20,23,2994
Mar21,24,3631
Mar22,25,4204
Mar23,26,4749
Mar24,27,5560
Mar25,28,6412
Mar26,29,7431
Mar27,30,8603
Mar28,31,9762
Mar29,32,10866
Mar30,33,11750
Mar31,34,12595
Apr01,35,13614
Apr02,36,14697
Apr03,37,15723
Apr04,38,16627
Apr05,39,17851
Apr06,40,18803
Apr07,41,19580
Apr08,42,20549
Apr09,43,21762
Apr10,44,23097
Apr11,45,24413
Apr12,46,25587
Apr13,47,26551
Apr14,48,27419
Apr15,49,28153
Apr16,50,29214
Apr17,51,30449
Apr18,52,31589
Apr19,53,32655
Apr20,54,33405
Apr21,55,34134
Apr22,56,34842
Apr23,57,35729
Apr24,58,36535
Apr25,59,37190
Apr26,60,37845
Apr27,61,38245
Apr28,62,38416
Apr29,63,38802
Apr30,64,39316
May01,65,39791
