day,dayNo,case
Feb15,1,8
Feb16,2,9
Feb17,3,9
Feb18,4,9
Feb19,5,9
Feb20,6,9
Feb21,7,11
Feb22,8,13
Feb23,9,13
Feb24,10,13
Feb25,11,13
Feb26,12,13
Feb27,13,19
Feb28,14,19
Feb29,15,21
Mar01,16,21
Mar02,17,21
Mar03,18,27
Mar04,19,28
Mar05,20,28
Mar06,21,45
Mar07,22,45
Mar08,23,45
Mar09,24,59
Mar10,25,74
Mar11,26,74
Mar12,27,85
Mar13,28,85
Mar14,29,85
Mar15,30,98
Mar16,31,98
Mar17,32,113
Mar18,33,113
Mar19,34,140
Mar20,35,140
Mar21,36,153
Mar22,37,153
Mar23,38,198
Mar24,39,248
Mar25,40,333
Mar26,41,333
Mar27,42,405
Mar28,43,468
Mar29,44,570
Mar30,45,611
Mar31,46,664
Apr01,47,814
Apr02,48,1024
Apr03,49,1264
Apr04,50,1505
Apr05,51,1799
Apr06,52,2076
Apr07,53,2359
Apr08,54,2659
Apr09,55,2990
Apr10,56,3360
Apr11,57,3736
Apr12,58,4123
Apr13,59,4521
Apr14,60,4933
Apr15,61,5365
Apr16,62,5825
Apr17,63,6302
Apr18,64,6302
Apr19,65,6781
Apr20,66,7265
Apr21,67,7755
Apr22,68,8238
Apr23,69,8756
Apr24,70,9281
Apr25,71,9813
Apr26,72,10349
Apr27,73,10839
Apr28,74,11380
Apr29,75,11929
Apr30,76,12481
May01,77,13038
